CATAID,BPT_CLASS,LOGIT_CLASS(1-UVUP;0-UVWEAK),STELLAR_MASS,UV_CLASS,WHAN(0-NA;1-RP;2-wA;3-sA;4-SF),WHAN_CLASS,Z
593695,SF,0,10.17424,UV_WEAK,4,SF,0.13198
594913,NA,0,10.79292,UV_WEAK,1,Retired/Passive,0.1387
594994,NA,1,10.86496,UV_UPTURN,1,Retired/Passive,0.17168
598961,NA,1,10.7629,UV_UPTURN,0,NA,0.19304
600232,LINER,1,10.47142,UV_UPTURN,1,Retired/Passive,0.15761
601015,NA,0,10.73846,UV_WEAK,1,Retired/Passive,0.1647
609264,NA,1,11.09289,UV_UPTURN,2,wAGN,0.21197
609352,NA,1,11.10687,UV_UPTURN,4,SF,0.30252
609836,LINER,1,10.66641,UV_UPTURN,1,Retired/Passive,0.13537
609958,Composite,0,10.24234,UV_WEAK,1,Retired/Passive,0.09512
610293,LINER,1,10.27466,UV_UPTURN,1,Retired/Passive,0.13949
610387,SF,0,10.79311,UV_WEAK,4,SF,0.24746
610441,NA,1,11.27254,UV_UPTURN,1,Retired/Passive,0.25032
610691,SF,0,10.76152,UV_WEAK,4,SF,0.1541
611106,LINER,0,10.6908,UV_WEAK,1,Retired/Passive,0.12607
611124,SF,0,10.4748,UV_WEAK,2,wAGN,0.18159
611468,NA,1,11.27319,UV_UPTURN,0,NA,0.26784
611561,LINER,0,10.66073,UV_WEAK,1,Retired/Passive,0.17122
617460,SF,1,11.20208,UV_UPTURN,4,SF,0.25459
617899,NA,1,10.46144,UV_UPTURN,1,Retired/Passive,0.1231
619166,Composite,0,10.16117,UV_WEAK,3,sAGN,0.12493
619222,NA,1,11.01652,UV_UPTURN,1,Retired/Passive,0.21629
619575,NA,1,10.537,UV_UPTURN,1,Retired/Passive,0.17986
620066,Composite,0,10.67362,UV_WEAK,1,Retired/Passive,0.18917
621993,NA,0,10.46075,UV_WEAK,0,NA,0.14224
622552,SF,1,10.59988,UV_UPTURN,4,SF,0.15922
623746,NA,0,10.80778,UV_WEAK,1,Retired/Passive,0.15789
6840,Composite,1,10.83921,UV_UPTURN,1,Retired/Passive,0.19309
7371,SF,0,10.69578,UV_WEAK,4,SF,0.12634
7980,Composite,1,9.968707,UV_UPTURN,2,wAGN,0.08766
8041,NA,1,10.5592,UV_UPTURN,4,SF,0.14224
14922,Composite,1,10.83619,UV_UPTURN,1,Retired/Passive,0.16361
14926,LINER,0,10.95667,UV_WEAK,1,Retired/Passive,0.18989
15040,NA,0,10.40048,UV_WEAK,1,Retired/Passive,0.12565
15405,SF,0,10.20578,UV_WEAK,3,sAGN,0.16997
16027,Composite,0,10.73888,UV_WEAK,1,Retired/Passive,0.1379
16604,Composite,0,10.34033,UV_WEAK,1,Retired/Passive,0.12851
17387,NA,1,10.80315,UV_UPTURN,1,Retired/Passive,0.14849
21906,NA,0,11.2604,UV_WEAK,1,Retired/Passive,0.26635
22885,LINER,1,10.91491,UV_UPTURN,1,Retired/Passive,0.17948
23235,NA,0,10.60399,UV_WEAK,0,NA,0.1411
23262,NA,1,10.44253,UV_UPTURN,1,Retired/Passive,0.11194
23510,NA,1,10.98533,UV_UPTURN,2,wAGN,0.22472
23616,Composite,0,10.01845,UV_WEAK,2,wAGN,0.0781
23618,LINER,1,10.66051,UV_UPTURN,1,Retired/Passive,0.15898
231048,LINER,1,10.84984,UV_UPTURN,1,Retired/Passive,0.18462
238220,NA,0,10.32217,UV_WEAK,4,SF,0.12743
240607,SF,1,11.06444,UV_UPTURN,4,SF,0.14878
249583,NA,0,11.03171,UV_WEAK,0,NA,0.2427
249676,NA,0,10.50041,UV_WEAK,0,NA,0.12663
250400,NA,0,10.56231,UV_WEAK,0,NA,0.14935
250615,NA,0,10.72955,UV_WEAK,1,Retired/Passive,0.16964
250711,NA,0,10.37488,UV_WEAK,4,SF,0.10123
251308,NA,1,10.61834,UV_UPTURN,3,sAGN,0.11399
251462,SF,1,10.55653,UV_UPTURN,4,SF,0.13734
252249,NA,0,10.19763,UV_WEAK,4,SF,0.09701
261344,NA,1,10.71924,UV_UPTURN,4,SF,0.17944
265204,NA,0,10.32935,UV_WEAK,4,SF,0.13183
265774,NA,0,10.29525,UV_WEAK,0,NA,0.10782
265779,NA,0,10.31688,UV_WEAK,4,SF,0.10677
265997,NA,1,11.16251,UV_UPTURN,4,SF,0.31204
266231,SF,1,11.08855,UV_UPTURN,4,SF,0.2303
266373,SF,0,10.97702,UV_WEAK,4,SF,0.20215
266440,NA,0,10.2824,UV_WEAK,0,NA,0.13954
266748,SF,0,10.995,UV_WEAK,4,SF,0.21891
267010,NA,0,9.951801,UV_WEAK,1,Retired/Passive,0.08398
267194,NA,0,11.14931,UV_WEAK,0,NA,0.08331
267234,Composite,0,10.71408,UV_WEAK,1,Retired/Passive,0.1634
271384,SF,1,10.3137,UV_UPTURN,4,SF,0.10072
271394,NA,1,10.58723,UV_UPTURN,1,Retired/Passive,0.20726
271955,Composite,0,11.19294,UV_WEAK,3,sAGN,0.28971
272306,NA,1,10.7521,UV_UPTURN,1,Retired/Passive,0.15779
272688,Composite,0,10.78699,UV_WEAK,1,Retired/Passive,0.16575
272711,NA,0,11.19207,UV_WEAK,2,wAGN,0.24193
272839,SF,0,11.03858,UV_WEAK,4,SF,0.25572
273046,NA,1,10.87799,UV_UPTURN,1,Retired/Passive,0.18509
273142,NA,1,11.07906,UV_UPTURN,2,wAGN,0.26581
273268,NA,0,10.9399,UV_WEAK,1,Retired/Passive,0.25255
273306,NA,0,11.18123,UV_WEAK,0,NA,0.34433
273844,NA,1,10.08131,UV_UPTURN,1,Retired/Passive,0.07801
278300,SF,0,11.0545,UV_WEAK,4,SF,0.19094
278774,NA,0,10.50772,UV_WEAK,1,Retired/Passive,0.19868
279510,NA,0,10.90988,UV_WEAK,2,wAGN,0.16218
279507,NA,0,11.10401,UV_WEAK,4,SF,0.22637
287694,LINER,0,9.873794,UV_WEAK,1,Retired/Passive,0.0735
287949,SF,0,10.29988,UV_WEAK,4,SF,0.13299
289261,NA,1,10.86527,UV_UPTURN,1,Retired/Passive,0.1746
289379,NA,1,10.73925,UV_UPTURN,1,Retired/Passive,0.1857
289384,NA,1,11.0581,UV_UPTURN,3,sAGN,0.18816
289412,NA,1,10.84276,UV_UPTURN,4,SF,0.18468
289494,NA,0,10.47654,UV_WEAK,0,NA,0.14551
289570,NA,0,11.06798,UV_WEAK,0,NA,0.25423
289664,NA,0,11.05386,UV_WEAK,4,SF,0.25239
296864,Composite,1,10.19254,UV_UPTURN,3,sAGN,0.08985
297021,LINER,0,11.00248,UV_WEAK,1,Retired/Passive,0.27509
297022,SF,1,10.98805,UV_UPTURN,1,Retired/Passive,0.27502
297202,NA,0,10.58128,UV_WEAK,4,SF,0.16055
297231,NA,0,10.49929,UV_WEAK,3,sAGN,0.11204
298380,NA,1,11.26814,UV_UPTURN,4,SF,0.30267
298594,NA,1,10.8585,UV_UPTURN,1,Retired/Passive,0.1671
299132,LINER,0,10.56808,UV_WEAK,1,Retired/Passive,0.14612
300890,NA,1,10.7253,UV_UPTURN,2,wAGN,0.15322
300933,NA,1,10.64379,UV_UPTURN,4,SF,0.14772
301850,NA,1,10.90107,UV_UPTURN,0,NA,0.21834
301906,SF,1,11.00491,UV_UPTURN,1,Retired/Passive,0.22058
301907,NA,0,11.00768,UV_WEAK,4,SF,0.21927
302370,LINER,1,10.62719,UV_UPTURN,1,Retired/Passive,0.12441
318775,Composite,0,10.09489,UV_WEAK,3,sAGN,0.12318
318790,NA,1,10.64443,UV_UPTURN,1,Retired/Passive,0.1667
318810,LINER,1,10.58082,UV_UPTURN,1,Retired/Passive,0.12911
319737,Composite,1,10.9633,UV_UPTURN,3,sAGN,0.29633
319765,NA,0,11.0009,UV_WEAK,1,Retired/Passive,0.19724
319875,SF,1,10.27942,UV_UPTURN,4,SF,0.11099
319900,SF,1,10.79415,UV_UPTURN,4,SF,0.14435
319998,NA,0,9.961367,UV_WEAK,0,NA,0.08549
320155,NA,0,11.12904,UV_WEAK,0,NA,0.20919
320808,NA,0,10.7501,UV_WEAK,4,SF,0.13884
320849,NA,0,10.24205,UV_WEAK,4,SF,0.09112
321414,NA,1,10.71375,UV_UPTURN,0,NA,0.17653
321450,Composite,0,10.50959,UV_WEAK,3,sAGN,0.13534
323278,NA,0,11.23853,UV_WEAK,1,Retired/Passive,0.20018
323457,SF,1,10.75085,UV_UPTURN,4,SF,0.17507
324302,NA,1,10.72882,UV_UPTURN,1,Retired/Passive,0.16591
325299,NA,1,11.26152,UV_UPTURN,4,SF,0.27932
342230,NA,0,10.84854,UV_WEAK,4,SF,0.18199
342618,NA,1,10.32254,UV_UPTURN,4,SF,0.11122
343316,Composite,0,10.88234,UV_WEAK,1,Retired/Passive,0.18994
343900,Composite,1,10.75606,UV_UPTURN,1,Retired/Passive,0.14754
346858,SF,1,11.04729,UV_UPTURN,4,SF,0.23896
347378,SF,1,10.41902,UV_UPTURN,4,SF,0.13738
347961,NA,0,11.09382,UV_WEAK,4,SF,0.2245
348010,LINER,0,10.25294,UV_WEAK,1,Retired/Passive,0.09181
361693,Composite,1,10.11578,UV_UPTURN,1,Retired/Passive,0.09424
361694,NA,1,10.84126,UV_UPTURN,4,SF,0.15061
362473,NA,0,11.17465,UV_WEAK,0,NA,0.32882
362607,NA,1,10.28102,UV_UPTURN,2,wAGN,0.08772
363050,NA,0,10.51528,UV_WEAK,4,SF,0.11722
363924,NA,1,10.47688,UV_UPTURN,1,Retired/Passive,0.12217
364036,LINER,1,10.74292,UV_UPTURN,2,wAGN,0.16606
367330,SF,1,10.82592,UV_UPTURN,4,SF,0.16831
371001,LINER,1,11.51042,UV_UPTURN,1,Retired/Passive,0.29494
371173,Composite,1,10.2563,UV_UPTURN,2,wAGN,0.11082
372147,NA,1,11.22693,UV_UPTURN,4,SF,0.29459
372456,SF,1,10.87981,UV_UPTURN,4,SF,0.25857
372463,NA,1,11.28457,UV_UPTURN,4,SF,0.30882
373018,NA,0,10.90545,UV_WEAK,4,SF,0.18714
373305,NA,1,10.79683,UV_UPTURN,0,NA,0.13825
375692,SF,0,10.53094,UV_WEAK,1,Retired/Passive,0.13419
375789,NA,1,9.729482,UV_UPTURN,0,NA,0.07871
376042,NA,1,11.09184,UV_UPTURN,0,NA,0.26761
377421,NA,0,10.91116,UV_WEAK,2,wAGN,0.21251
380912,NA,0,10.83529,UV_WEAK,1,Retired/Passive,0.11152
381170,SF,1,10.98735,UV_UPTURN,4,SF,0.25743
381583,NA,1,10.98387,UV_UPTURN,1,Retired/Passive,0.18768
382082,LINER,0,10.98748,UV_WEAK,1,Retired/Passive,0.22552
383050,LINER,1,11.18653,UV_UPTURN,1,Retired/Passive,0.20122
383183,NA,1,10.96049,UV_UPTURN,4,SF,0.20211
386560,SF,1,9.866583,UV_UPTURN,4,SF,0.10711
386576,Composite,0,10.05058,UV_WEAK,3,sAGN,0.10759
387594,NA,0,11.45516,UV_WEAK,4,SF,0.31363
388478,SF,0,11.24035,UV_WEAK,4,SF,0.28331
388645,Composite,0,11.29117,UV_WEAK,1,Retired/Passive,0.31932
396578,SF,1,10.45685,UV_UPTURN,4,SF,0.09788
396614,SF,0,10.58018,UV_WEAK,1,Retired/Passive,0.13755
396710,Composite,0,10.50939,UV_WEAK,1,Retired/Passive,0.13332
397040,Composite,0,10.77966,UV_WEAK,1,Retired/Passive,0.15954
397111,SF,0,10.94486,UV_WEAK,4,SF,0.21054
397130,NA,0,11.04987,UV_WEAK,1,Retired/Passive,0.23315
402663,NA,0,11.03606,UV_WEAK,4,SF,0.2225
417755,SF,1,11.29856,UV_UPTURN,1,Retired/Passive,0.19588
419476,NA,0,10.6628,UV_WEAK,1,Retired/Passive,0.14638
422871,LINER,1,11.00457,UV_UPTURN,1,Retired/Passive,0.20865
423115,NA,1,10.95979,UV_UPTURN,0,NA,0.21647
423376,NA,1,10.82108,UV_UPTURN,4,SF,0.19517
514188,LINER,0,10.60986,UV_WEAK,1,Retired/Passive,0.14574
518059,Composite,1,10.53424,UV_UPTURN,2,wAGN,0.11415
519135,NA,1,11.21083,UV_UPTURN,1,Retired/Passive,0.28327
3582527,Composite,1,10.58912,UV_UPTURN,1,Retired/Passive,0.06939
3583522,NA,0,10.5992,UV_WEAK,0,NA,0.10571
3584590,SF,1,11.22929,UV_UPTURN,1,Retired/Passive,0.17239
3599305,NA,0,11.10824,UV_WEAK,4,SF,0.29176
3602268,SF,0,10.94973,UV_WEAK,4,SF,0.15206
3603136,LINER,0,11.23574,UV_WEAK,2,wAGN,0.1704
3604402,NA,1,11.16541,UV_UPTURN,0,NA,0.22979
3604645,Composite,1,10.75231,UV_UPTURN,1,Retired/Passive,0.13708
3604673,NA,0,11.1902,UV_WEAK,1,Retired/Passive,0.17276
3604946,NA,0,10.28753,UV_WEAK,0,NA,0.10768
3609217,LINER,0,10.34506,UV_WEAK,1,Retired/Passive,0.10666
3610432,NA,0,10.62928,UV_WEAK,0,NA,0.12828
3611069,NA,0,11.38196,UV_WEAK,0,NA,0.29506
3611348,SF,0,10.67712,UV_WEAK,1,Retired/Passive,0.07019
3611447,NA,0,10.33902,UV_WEAK,0,NA,0.55945
3613085,NA,1,10.78122,UV_UPTURN,1,Retired/Passive,0.15631
3613123,NA,1,11.11398,UV_UPTURN,0,NA,0.2004
3613150,NA,0,10.72172,UV_WEAK,1,Retired/Passive,0.10093
3617808,NA,1,10.9698,UV_UPTURN,1,Retired/Passive,0.22463
659898,NA,0,10.50212,UV_WEAK,0,NA,0.1023
3623290,NA,1,11.23545,UV_UPTURN,1,Retired/Passive,0.15422
3625230,NA,0,11.14592,UV_WEAK,1,Retired/Passive,0.18967
3626471,NA,0,10.87365,UV_WEAK,1,Retired/Passive,0.22594
3627066,LINER,1,10.72837,UV_UPTURN,1,Retired/Passive,0.1712
3630943,NA,0,10.97811,UV_WEAK,0,NA,0.08843
3632321,NA,1,11.06776,UV_UPTURN,2,wAGN,0.15248
3634837,SF,0,10.99168,UV_WEAK,1,Retired/Passive,0.13793
663510,NA,0,10.74381,UV_WEAK,4,SF,0.13717
460401,NA,1,11.16509,UV_UPTURN,1,Retired/Passive,0.2587
463600,LINER,0,10.52514,UV_WEAK,1,Retired/Passive,0.12201
484717,LINER,0,11.02762,UV_WEAK,1,Retired/Passive,0.26282
486350,NA,0,10.53775,UV_WEAK,0,NA,0.13469
487074,SF,1,10.47524,UV_UPTURN,4,SF,0.14487
491543,Composite,0,10.13941,UV_WEAK,2,wAGN,0.11714
491864,Composite,0,10.88892,UV_WEAK,1,Retired/Passive,0.20151
491942,SF,0,10.81872,UV_WEAK,4,SF,0.2117
492701,NA,1,10.67455,UV_UPTURN,0,NA,0.19399
493660,NA,0,10.71984,UV_WEAK,1,Retired/Passive,0.14975
493678,NA,0,10.88807,UV_WEAK,4,SF,0.21797
496993,NA,0,10.79521,UV_WEAK,4,SF,0.18102
504997,NA,0,10.29655,UV_WEAK,0,NA,0.09269
505829,NA,0,10.99166,UV_WEAK,0,NA,0.20637
506098,SF,1,10.98665,UV_UPTURN,4,SF,0.18094
506120,NA,0,10.09155,UV_WEAK,0,NA,0.08397
508317,NA,1,11.08096,UV_UPTURN,2,wAGN,0.16361
508758,SF,0,10.77531,UV_WEAK,1,Retired/Passive,0.19724
508844,NA,0,11.06788,UV_WEAK,1,Retired/Passive,0.23947
508880,SF,1,11.08744,UV_UPTURN,4,SF,0.28411
740313,NA,0,10.86607,UV_WEAK,1,Retired/Passive,0.20751
512441,SF,1,10.36182,UV_UPTURN,4,SF,0.13017
513154,SF,0,10.90403,UV_WEAK,4,SF,0.21236
3860407,SF,1,10.73988,UV_UPTURN,4,SF,0.10059
3860408,LINER,0,10.63686,UV_WEAK,1,Retired/Passive,0.10061
3878612,NA,1,10.27778,UV_UPTURN,1,Retired/Passive,0.09023
3881196,Composite,0,10.88861,UV_WEAK,1,Retired/Passive,0.22879
3881366,Composite,0,10.38557,UV_WEAK,2,wAGN,0.07868
3882902,NA,1,11.05024,UV_UPTURN,0,NA,0.17225
3886217,Composite,0,11.14592,UV_WEAK,3,sAGN,0.24866
3886483,NA,0,10.65492,UV_WEAK,1,Retired/Passive,0.18153
3887670,NA,0,10.81917,UV_WEAK,4,SF,0.20135
3888169,NA,1,11.29047,UV_UPTURN,0,NA,0.16294
3888446,NA,0,11.21408,UV_WEAK,1,Retired/Passive,0.20081
3889591,NA,1,11.02909,UV_UPTURN,0,NA,0.17005
3889601,NA,0,10.94622,UV_WEAK,0,NA,0.19832
3895596,SF,0,11.30817,UV_WEAK,4,SF,0.16869
3895949,Composite,0,11.06837,UV_WEAK,1,Retired/Passive,0.28965
3896711,SF,1,10.45587,UV_UPTURN,4,SF,0.13594
3898103,LINER,0,10.96467,UV_WEAK,1,Retired/Passive,0.12005
3898205,NA,0,10.71259,UV_WEAK,1,Retired/Passive,0.11958
3899932,Composite,1,10.62642,UV_UPTURN,3,sAGN,0.13733
3900210,SF,0,11.07014,UV_WEAK,2,wAGN,0.18949
3901077,NA,0,10.64922,UV_WEAK,0,NA,0.10255
3901985,NA,0,10.46362,UV_WEAK,0,NA,0.09745
